['Arizona Coyotes', 'Aleshia Tynell', ' POSITION: D', ' OVERALL: 81']
['Vancouver Canucks', 'Wm Norah', ' POSITION: RW', ' OVERALL: 81']
['Vegas Golden Knights', 'Casanova Letisha', ' POSITION: D', ' OVERALL: 82']
['Vegas Golden Knights', 'Cassi Randy', ' POSITION: RW', ' OVERALL: 99']
['Vegas Golden Knights', 'Delrico Case', ' POSITION: D', ' OVERALL: 93']
['Vegas Golden Knights', 'Juvencio Yulonda', ' POSITION: C', ' OVERALL: 89']
['Vegas Golden Knights', 'Katlynn Keryn', ' POSITION: LW', ' OVERALL: 84']
['Vegas Golden Knights', 'Keah Ereka', ' POSITION: C', ' OVERALL: 97']
['Vegas Golden Knights', 'Lekia Jazmyne', ' POSITION: G', ' OVERALL: 87']
['Vegas Golden Knights', 'Oona Delonna', ' POSITION: RW', ' OVERALL: 90']
['Vegas Golden Knights', 'Ronnita Ling', ' POSITION: D', ' OVERALL: 87']
['Vegas Golden Knights', 'Rosangela Tiffanie', ' POSITION: D', ' OVERALL: 98']
['Vegas Golden Knights', 'Sybrina Minna', ' POSITION: G', ' OVERALL: 97']
['Vegas Golden Knights', 'Tashay Christella', ' POSITION: LW', ' OVERALL: 96']
['Washington Capitals', 'Carissa Latorie', ' POSITION: D', ' OVERALL: 94']
['Washington Capitals', 'Chaise Andera', ' POSITION: G', ' OVERALL: 99']
['Washington Capitals', 'Cornelious Jovany', ' POSITION: D', ' OVERALL: 88']
['Washington Capitals', 'Herbie Punam', ' POSITION: D', ' OVERALL: 99']
['Washington Capitals', 'Jenefer Ashira', ' POSITION: LW', ' OVERALL: 86']
['Washington Capitals', 'Karina Deniece', ' POSITION: D', ' OVERALL: 82']
['Washington Capitals', 'Lacora Ronel', ' POSITION: G', ' OVERALL: 88']
['Washington Capitals', 'Leonidas Tanera', ' POSITION: C', ' OVERALL: 98']
['Washington Capitals', 'Rondal Martiza', ' POSITION: LW', ' OVERALL: 97']
['Washington Capitals', 'Shomari Dyshawn', ' POSITION: C', ' OVERALL: 90']
['Washington Capitals', 'Stevin Rodolfo', ' POSITION: RW', ' OVERALL: 99']
['Washington Capitals', 'Tamarah Nanci', ' POSITION: RW', ' OVERALL: 90']
['Winnipeg Jets', 'Camilia Landa', ' POSITION: D', ' OVERALL: 84']
['Winnipeg Jets', 'Carrissa Shakeria', ' POSITION: D', ' OVERALL: 90']
['Winnipeg Jets', 'Charle Tequia', ' POSITION: D', ' OVERALL: 80']
['Winnipeg Jets', 'Charlese Cisco', ' POSITION: RW', ' OVERALL: 83']
['Winnipeg Jets', 'Jetta Carlisa', ' POSITION: G', ' OVERALL: 91']
['Winnipeg Jets', 'Kyoko Phong', ' POSITION: C', ' OVERALL: 93']
['Winnipeg Jets', 'Phyllip Trebor', ' POSITION: G', ' OVERALL: 82']
['Winnipeg Jets', 'Rocio Shawnta', ' POSITION: LW', ' OVERALL: 89']
['Winnipeg Jets', 'Shamarr Milton', ' POSITION: C', ' OVERALL: 82']
['Winnipeg Jets', 'Shaterica Taneeka', ' POSITION: D', ' OVERALL: 95']
['Winnipeg Jets', 'Tani Estephanie', ' POSITION: LW', ' OVERALL: 78']
['Winnipeg Jets', 'Therese Meosha', ' POSITION: RW', ' OVERALL: 93']
