['Yuki Desirie', 'POSITION: RW', 'OVERALL: 99']
['Mirlande Grabiel', 'POSITION: D', 'OVERALL: 74']
['Mirian Armen', 'POSITION: G', 'OVERALL: 74']
['Marguetta Alder', 'POSITION: D', 'OVERALL: 74']
['Lev Fedrick', 'POSITION: G', 'OVERALL: 74']
['Lenna Meegan', 'POSITION: D', 'OVERALL: 74']
['Latoyah Natilie', 'POSITION: C', 'OVERALL: 74']
['Ife Ashleymarie', 'POSITION: D', 'OVERALL: 74']
['Haleigh Rhiana', 'POSITION: C', 'OVERALL: 74']
['Ericka Dominique', 'POSITION: C', 'OVERALL: 74']
['Emilie Jaquana', 'POSITION: LW', 'OVERALL: 74']
['Daytona Lace', 'POSITION: G', 'OVERALL: 74']
['Chantay Konica', 'POSITION: D', 'OVERALL: 74']
['Chandell Shani', 'POSITION: RW', 'OVERALL: 74']
['Amisha Charla', 'POSITION: C', 'OVERALL: 74']
['Alaine Gila', 'POSITION: RW', 'OVERALL: 74']
['Vittorio Jalissa', 'POSITION: D', 'OVERALL: 73']
['Shonta Lillia', 'POSITION: C', 'OVERALL: 73']
['Shavonn Chuong', 'POSITION: LW', 'OVERALL: 73']
['Shania Marquette', 'POSITION: C', 'OVERALL: 73']
['Shandi Ashok', 'POSITION: G', 'OVERALL: 73']
['Obert Atara', 'POSITION: D', 'OVERALL: 73']
['Mercedes Lashannon', 'POSITION: LW', 'OVERALL: 73']
['Markale Venita', 'POSITION: D', 'OVERALL: 73']
['Lucan Alejandra', 'POSITION: LW', 'OVERALL: 73']
['Kayvon Reginold', 'POSITION: D', 'OVERALL: 73']
['Karaline Tessica', 'POSITION: D', 'OVERALL: 73']
['Joellyn Lillia', 'POSITION: LW', 'OVERALL: 73']
['Jesalyn Rissa', 'POSITION: D', 'OVERALL: 73']
['Jazmine Margarito', 'POSITION: RW', 'OVERALL: 73']
['Ilsa Tressie', 'POSITION: RW', 'OVERALL: 73']
['Heide Charistopher', 'POSITION: D', 'OVERALL: 73']
['Chinedu Latina', 'POSITION: D', 'OVERALL: 73']
['Chaquana Dashia', 'POSITION: D', 'OVERALL: 73']
['Atlantis Blong', 'POSITION: LW', 'OVERALL: 73']
['Shontaya Catalino', 'POSITION: D', 'OVERALL: 72']
['Shauna Denishia', 'POSITION: G', 'OVERALL: 72']
['Seaira Zebedee', 'POSITION: RW', 'OVERALL: 72']
['Rina Kenyan', 'POSITION: G', 'OVERALL: 72']
['Rasan Jarmaine', 'POSITION: G', 'OVERALL: 72']
['Omesha Kaila', 'POSITION: RW', 'OVERALL: 72']
['Lissette Soleil', 'POSITION: LW', 'OVERALL: 72']
['Latreece Hellena', 'POSITION: G', 'OVERALL: 72']
['Kevan Rahul', 'POSITION: LW', 'OVERALL: 72']
['Jose Shant', 'POSITION: D', 'OVERALL: 72']
['Joleigh Arial', 'POSITION: D', 'OVERALL: 72']
['Joffrey Fara', 'POSITION: D', 'OVERALL: 72']
['Jamina Erricka', 'POSITION: C', 'OVERALL: 72']
['Jamaica Cristofer', 'POSITION: RW', 'OVERALL: 72']
['Jalal Farzad', 'POSITION: D', 'OVERALL: 72']
['Davena Wiley', 'POSITION: C', 'OVERALL: 72']
['Coty Ambriel', 'POSITION: D', 'OVERALL: 72']
['Corrinne Kellin', 'POSITION: D', 'OVERALL: 72']
['Brionna Lanee', 'POSITION: LW', 'OVERALL: 72']
['Yamira Adriano', 'POSITION: G', 'OVERALL: 71']
['Theon Lacy', 'POSITION: C', 'OVERALL: 71']
['Rondi Taesha', 'POSITION: D', 'OVERALL: 71']
['Nyshia Feigy', 'POSITION: RW', 'OVERALL: 71']
['Marka Sarica', 'POSITION: LW', 'OVERALL: 71']
['Leteshia Sylvan', 'POSITION: G', 'OVERALL: 71']
['Ladale Noura', 'POSITION: D', 'OVERALL: 71']
['Kaneesha Chantee', 'POSITION: LW', 'OVERALL: 71']
['Gerilynn Pearline', 'POSITION: C', 'OVERALL: 71']
['Gennaro Charis', 'POSITION: LW', 'OVERALL: 71']
['Enjoli Ranardo', 'POSITION: G', 'OVERALL: 71']
['Dieter Chanie', 'POSITION: RW', 'OVERALL: 71']
['Deshawn Damara', 'POSITION: G', 'OVERALL: 71']
['Damonique Lanita', 'POSITION: C', 'OVERALL: 71']
['Constantinos Andrewjames', 'POSITION: C', 'OVERALL: 71']
['Brant Deren', 'POSITION: C', 'OVERALL: 71']
['Anjelica Vidal', 'POSITION: LW', 'OVERALL: 71']
['Adon Latrina', 'POSITION: C', 'OVERALL: 71']
['Trica Ranjit', 'POSITION: LW', 'OVERALL: 70']
['Tandra Shamicka', 'POSITION: G', 'OVERALL: 70']
['Takela Shivani', 'POSITION: LW', 'OVERALL: 70']
['Raelene Elesha', 'POSITION: G', 'OVERALL: 70']
['Onisha Tari', 'POSITION: D', 'OVERALL: 70']
['Nickolaos Marcio', 'POSITION: D', 'OVERALL: 70']
['Martisha Jontel', 'POSITION: D', 'OVERALL: 70']
['Lorin Nicle', 'POSITION: D', 'OVERALL: 70']
['Kyran Kristyne', 'POSITION: C', 'OVERALL: 70']
['Kendl Shenae', 'POSITION: RW', 'OVERALL: 70']
['Jacquelynn Adeola', 'POSITION: G', 'OVERALL: 70']
['Hitesh Laticia', 'POSITION: G', 'OVERALL: 70']
['Graceanne Casy', 'POSITION: LW', 'OVERALL: 70']
['Faraz Conchetta', 'POSITION: D', 'OVERALL: 70']
['Fabian Sameer', 'POSITION: C', 'OVERALL: 70']
['Domenick Athina', 'POSITION: G', 'OVERALL: 70']
['Claudius Marti', 'POSITION: D', 'OVERALL: 70']
['Cailyn Jennessa', 'POSITION: LW', 'OVERALL: 70']
['Verdell Sherman', 'POSITION: D', 'OVERALL: 69']
['Tenisa Elder', 'POSITION: G', 'OVERALL: 69']
['Suan Josilyn', 'POSITION: D', 'OVERALL: 69']
['Shreya Chani', 'POSITION: D', 'OVERALL: 69']
['Leoncio Trica', 'POSITION: G', 'OVERALL: 69']
['Lathisa Fatima', 'POSITION: G', 'OVERALL: 69']
['Lakeitha Mayela', 'POSITION: LW', 'OVERALL: 69']
['Keoni Tinesha', 'POSITION: RW', 'OVERALL: 69']
['Katerine Farhan', 'POSITION: G', 'OVERALL: 69']
['Joshu Edvardo', 'POSITION: C', 'OVERALL: 69']
['Hesham Homar', 'POSITION: G', 'OVERALL: 69']
['Fielding Rosemaria', 'POSITION: C', 'OVERALL: 69']
['Edith Jeromey', 'POSITION: G', 'OVERALL: 69']
['Darnesha Alica', 'POSITION: D', 'OVERALL: 69']
['Billye Jody', 'POSITION: D', 'OVERALL: 69']
['Achilles Markas', 'POSITION: C', 'OVERALL: 69']
['Zedrick Neenah', 'POSITION: LW', 'OVERALL: 68']
['Yedidya Curt', 'POSITION: G', 'OVERALL: 68']
['Timmy Wolfgang', 'POSITION: G', 'OVERALL: 68']
['Teaya Janiece', 'POSITION: LW', 'OVERALL: 68']
['Taylore Waymon', 'POSITION: G', 'OVERALL: 68']
['Skyeler Graham', 'POSITION: G', 'OVERALL: 68']
['Shameek Jetta', 'POSITION: RW', 'OVERALL: 68']
['Saidah Winfred', 'POSITION: D', 'OVERALL: 68']
['Renea Kelsy', 'POSITION: C', 'OVERALL: 68']
['Pranay Cybil', 'POSITION: RW', 'OVERALL: 68']
['Norman Keelia', 'POSITION: D', 'OVERALL: 68']
['Lanaya Joetta', 'POSITION: LW', 'OVERALL: 68']
['Kystal Kofi', 'POSITION: D', 'OVERALL: 68']
['Kimberlyann Telia', 'POSITION: G', 'OVERALL: 68']
['Jannell Omarr', 'POSITION: RW', 'OVERALL: 68']
['Dulce Chancelor', 'POSITION: LW', 'OVERALL: 68']
['Daisi Jasine', 'POSITION: LW', 'OVERALL: 68']
['Chakira Lasandra', 'POSITION: D', 'OVERALL: 68']
['Brantley Micheline', 'POSITION: RW', 'OVERALL: 68']
['Anthoni Arlette', 'POSITION: RW', 'OVERALL: 68']
['Wykeshia Falicia', 'POSITION: D', 'OVERALL: 67']
['Shraga Rainie', 'POSITION: RW', 'OVERALL: 67']
['Shawntai Thoams', 'POSITION: LW', 'OVERALL: 67']
['Shann Milana', 'POSITION: D', 'OVERALL: 67']
['Samuell Majorie', 'POSITION: D', 'OVERALL: 67']
['Lakecia Lilibeth', 'POSITION: D', 'OVERALL: 67']
['Kolby Porter', 'POSITION: LW', 'OVERALL: 67']
['Kekoa Zachory', 'POSITION: D', 'OVERALL: 67']
['Karee Demond', 'POSITION: D', 'OVERALL: 67']
['Justene Shawnetta', 'POSITION: D', 'OVERALL: 67']
['Jarrin Chemeka', 'POSITION: D', 'OVERALL: 67']
['Ishia Bethanie', 'POSITION: D', 'OVERALL: 67']
['Ishah Genee', 'POSITION: D', 'OVERALL: 67']
['Holley Cheston', 'POSITION: D', 'OVERALL: 67']
['Deshonda Thary', 'POSITION: RW', 'OVERALL: 67']
['Damiel Jeffrie', 'POSITION: G', 'OVERALL: 67']
['Carvell Yannick', 'POSITION: LW', 'OVERALL: 67']
['Camilla Magdaleno', 'POSITION: LW', 'OVERALL: 67']
['Twanisha Rashidi', 'POSITION: RW', 'OVERALL: 66']
['Trevar Korey', 'POSITION: LW', 'OVERALL: 66']
['Tino Lynett', 'POSITION: C', 'OVERALL: 66']
['Normandy Min', 'POSITION: LW', 'OVERALL: 66']
['Nelson Yetta', 'POSITION: D', 'OVERALL: 66']
['Mellisa Jw', 'POSITION: G', 'OVERALL: 66']
['Larenzo Shaunel', 'POSITION: LW', 'OVERALL: 66']
['Landry Brandylee', 'POSITION: RW', 'OVERALL: 66']
['Guenevere Renna', 'POSITION: D', 'OVERALL: 66']
['Garet Serrena', 'POSITION: G', 'OVERALL: 66']
['Elric Stratton', 'POSITION: D', 'OVERALL: 66']
['Devery Amparo', 'POSITION: D', 'OVERALL: 66']
['Desmond Asante', 'POSITION: D', 'OVERALL: 66']
['Deseree Dalana', 'POSITION: D', 'OVERALL: 66']
['Demetric Maili', 'POSITION: G', 'OVERALL: 66']
['Darik Luanne', 'POSITION: LW', 'OVERALL: 66']
['Danial Tauheedah', 'POSITION: D', 'OVERALL: 66']
['Cimarron Borden', 'POSITION: LW', 'OVERALL: 66']
['Briston Betsey', 'POSITION: LW', 'OVERALL: 66']
['Basya Jontue', 'POSITION: D', 'OVERALL: 66']
['Yuki Lizzie', 'POSITION: D', 'OVERALL: 65']
['Taras Sherryann', 'POSITION: C', 'OVERALL: 65']
['Shikira Lecole', 'POSITION: G', 'OVERALL: 65']
['Sharece Cyndi', 'POSITION: C', 'OVERALL: 65']
['Sanita Flossie', 'POSITION: G', 'OVERALL: 65']
['Rodric Livia', 'POSITION: RW', 'OVERALL: 65']
['Raha Lachell', 'POSITION: RW', 'OVERALL: 65']
['Raelyn Donta', 'POSITION: C', 'OVERALL: 65']
['Meira Jessie', 'POSITION: LW', 'OVERALL: 65']
['Helene Sharleen', 'POSITION: D', 'OVERALL: 65']
['Elonzo Whit', 'POSITION: D', 'OVERALL: 65']
['Davita Demetrios', 'POSITION: C', 'OVERALL: 65']
['Antjuan Nasser', 'POSITION: D', 'OVERALL: 65']
['Agnes Alando', 'POSITION: G', 'OVERALL: 65']
['Vanessamarie Teyana', 'POSITION: RW', 'OVERALL: 64']
['Trish Gibran', 'POSITION: D', 'OVERALL: 64']
['Talisha Manfred', 'POSITION: C', 'OVERALL: 64']
['Sherrilyn Veronica', 'POSITION: LW', 'OVERALL: 64']
['Shalamar Jahanna', 'POSITION: G', 'OVERALL: 64']
['Satoya Judah', 'POSITION: G', 'OVERALL: 64']
['Rabecka Daquita', 'POSITION: D', 'OVERALL: 64']
['Quintessa Fredrick', 'POSITION: RW', 'OVERALL: 64']
['Melanie Gaylen', 'POSITION: G', 'OVERALL: 64']
['Marysa Celestial', 'POSITION: D', 'OVERALL: 64']
['Leighanne Quintana', 'POSITION: D', 'OVERALL: 64']
['Leann Ivania', 'POSITION: G', 'OVERALL: 64']
['Jaycie Kendelle', 'POSITION: C', 'OVERALL: 64']
['Hanah Terriann', 'POSITION: LW', 'OVERALL: 64']
['Geronimo Shina', 'POSITION: RW', 'OVERALL: 64']
['Ernestina Cristina', 'POSITION: C', 'OVERALL: 64']
['Brittnay Hellen', 'POSITION: LW', 'OVERALL: 64']
['Athina Nyia', 'POSITION: D', 'OVERALL: 64']
['Shemeka Emile', 'POSITION: G', 'OVERALL: 63']
['Sharena Jestina', 'POSITION: C', 'OVERALL: 63']
['Rikki Ramsey', 'POSITION: C', 'OVERALL: 63']
['Quenton Franci', 'POSITION: G', 'OVERALL: 63']
['Naeemah Ricard', 'POSITION: LW', 'OVERALL: 63']
['Mindee Ren', 'POSITION: RW', 'OVERALL: 63']
['Lucianna Moncia', 'POSITION: D', 'OVERALL: 63']
['Latorra Marwa', 'POSITION: C', 'OVERALL: 63']
['Kaylena Bibi', 'POSITION: D', 'OVERALL: 63']
['Justino Mackenzie', 'POSITION: C', 'OVERALL: 63']
['Jari Saturnino', 'POSITION: C', 'OVERALL: 63']
['Glendy Jaman', 'POSITION: LW', 'OVERALL: 63']
['Deanna Ladonna', 'POSITION: D', 'OVERALL: 63']
['Dameka Tamera', 'POSITION: LW', 'OVERALL: 63']
['Yitzchok Antonisha', 'POSITION: D', 'OVERALL: 62']
['Shellyann Argiro', 'POSITION: D', 'OVERALL: 62']
['Rylan Neri', 'POSITION: C', 'OVERALL: 62']
['Regena Chassie', 'POSITION: C', 'OVERALL: 62']
['Neha Lakevia', 'POSITION: RW', 'OVERALL: 62']
['Lashika Winton', 'POSITION: LW', 'OVERALL: 62']
['Lanier Piotr', 'POSITION: D', 'OVERALL: 62']
['Krystie Nadene', 'POSITION: G', 'OVERALL: 62']
['Julissa Donesha', 'POSITION: C', 'OVERALL: 62']
['Jones Sherelle', 'POSITION: D', 'OVERALL: 62']
['Jeannifer Tavis', 'POSITION: G', 'OVERALL: 62']
['Jafar Debralee', 'POSITION: C', 'OVERALL: 62']
['Dionisia Latoiya', 'POSITION: D', 'OVERALL: 62']
['Detric Justino', 'POSITION: D', 'OVERALL: 62']
['Desmone Shantell', 'POSITION: LW', 'OVERALL: 62']
['Denika Jerrett', 'POSITION: RW', 'OVERALL: 62']
['Delonna Elsy', 'POSITION: C', 'OVERALL: 62']
['Dameka Vick', 'POSITION: D', 'OVERALL: 62']
['Carlton Evertt', 'POSITION: C', 'OVERALL: 62']
['Benzion Lamberto', 'POSITION: RW', 'OVERALL: 62']
['Arlena Junia', 'POSITION: D', 'OVERALL: 62']
['Adonia Sholom', 'POSITION: G', 'OVERALL: 62']
['Adelia Matisha', 'POSITION: D', 'OVERALL: 62']
['Shlomo Shawnell', 'POSITION: D', 'OVERALL: 61']
['Shamaya Stephaie', 'POSITION: D', 'OVERALL: 61']
['Ocie Orson', 'POSITION: LW', 'OVERALL: 61']
['Latifa Nairobi', 'POSITION: D', 'OVERALL: 61']
['Laparis Marjorie', 'POSITION: C', 'OVERALL: 61']
['Lakiesha Auren', 'POSITION: D', 'OVERALL: 61']
['Kathyrn Eligio', 'POSITION: G', 'OVERALL: 61']
['Kassandre Chantel', 'POSITION: RW', 'OVERALL: 61']
['Karoline Chelcy', 'POSITION: G', 'OVERALL: 61']
['Journey Rekeisha', 'POSITION: D', 'OVERALL: 61']
['Houston Andreanna', 'POSITION: D', 'OVERALL: 61']
['Gerrard Ananias', 'POSITION: LW', 'OVERALL: 61']
['Evan Makeba', 'POSITION: C', 'OVERALL: 61']
['Charlsie Ravi', 'POSITION: RW', 'OVERALL: 61']
['Carline Hiran', 'POSITION: LW', 'OVERALL: 61']
['Brande Booker', 'POSITION: G', 'OVERALL: 61']
['Anthoney Lakeria', 'POSITION: D', 'OVERALL: 61']
['Alsha Yechiel', 'POSITION: LW', 'OVERALL: 61']
['Silva Deran', 'POSITION: D', 'OVERALL: 60']
['Shaughnessy Karenda', 'POSITION: RW', 'OVERALL: 60']
['Roxana Mikael', 'POSITION: G', 'OVERALL: 60']
['Roisin Alejandro', 'POSITION: LW', 'OVERALL: 60']
['Porche Alauna', 'POSITION: LW', 'OVERALL: 60']
['Michon Farryn', 'POSITION: D', 'OVERALL: 60']
['Junius Kathreen', 'POSITION: D', 'OVERALL: 60']
['Jan Latasha', 'POSITION: D', 'OVERALL: 60']
['Gage Liv', 'POSITION: LW', 'OVERALL: 60']
['Ashland Ashley', 'POSITION: C', 'OVERALL: 60']
['Tashauna Fabiana', 'POSITION: D', 'OVERALL: 59']
['Starnisha Hafeezah', 'POSITION: C', 'OVERALL: 59']
['Sioban Micholas', 'POSITION: RW', 'OVERALL: 59']
['Shealene Allisa', 'POSITION: C', 'OVERALL: 59']
['Shadi Lasean', 'POSITION: LW', 'OVERALL: 59']
['Nyasha Akela', 'POSITION: D', 'OVERALL: 59']
['Melisa Loan', 'POSITION: RW', 'OVERALL: 59']
['Marvelous Tyria', 'POSITION: RW', 'OVERALL: 59']
['Kendyll Aries', 'POSITION: LW', 'OVERALL: 59']
['Kathline Jaylin', 'POSITION: RW', 'OVERALL: 59']
['Kamel Cammy', 'POSITION: D', 'OVERALL: 59']
['Jennae Ling', 'POSITION: RW', 'OVERALL: 59']
['Jema Trumaine', 'POSITION: LW', 'OVERALL: 59']
['Janelle Athan', 'POSITION: LW', 'OVERALL: 59']
['Georgia Antawn', 'POSITION: D', 'OVERALL: 59']
['Deneice Valente', 'POSITION: D', 'OVERALL: 59']
['Chaunta Dashon', 'POSITION: RW', 'OVERALL: 59']
['Alejo Salima', 'POSITION: LW', 'OVERALL: 59']
